country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,,,42.4,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13.1,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,17.4,14.3,29.3,,,,,,,16.8,29,27.7,27.3,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,104,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,17.7,17.4,16.2,13.1,10.4,11,11.8,13.2,14.3,15.1,17.8,16.3,16.1,16.4,16.9,16.4,17.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37,7.1,7.46,7.22,6.25,6.87,7.87,9.81,9.7,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,,,,,,,,,36.9,35.6,36.2,34.3,31.5,37.2,36.4,35.9,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,9.56,13.5,22.3,19.6,18,,,,17.9,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,38.2,32.9,35.2,29.4,37.9,,37.5,32,30.9,24.6,,16.6,24.2,,,,25.2,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,42.2,58.3,,,,,,37.7,,30.8,41.7,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27.4,28.6,17.9,,15.6,14.9,13.1,14.3,14.8,14.9,16,17.2,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,36.4,35.4,33.9,33.7,34.4,34.2,35.7,36.5,34.7,33.5,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,27,29.2,25.7,,23.6,33.5,,32.6,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,149,136,123,128,146,118,86.6,92.5,81.8,63.1,,95,65.8,57.8,73,,
Bhutan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,85,88.2,68,,104,54.6,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,211,,250,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,56.3,54.9,47.2,44.5,,32.5,34.8,,29.1,27.2,27.8,27.8,27.6,28.1,29.2,29,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,49.4,,32.1,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,17.5,17.7,26.4,16.2,22.3,21.1,17.4,23.1,23.9,14.3,15,15.5,16.1,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,204,225,219,,,226,166,162,221,117,123,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,743,841,479,,313,244,,,414,405,,329,302,281,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,6.57,5.25,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,63.7,42.8,45.4,29.6,29.9,24.5,35.1,16.3,19,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,71.7,76.7,,45.7,43.5,,36.1,,31.5,34.1,41.8,41,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,,103,125,98.3,112,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,442,,,,,,270,258,,,,161,210,186,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,20.2,,18.5,,17.1,14.5,14.7,11.1,11,10.8,11.4,12.7,16,14.2,14.8,17.3,17,18.3,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,89.1,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,38.4,30.2,30.9,,,20.8,19.5,,,26,26.9,29.3,23.1,23.1,19.5,20.8,20.2,20.9,
