Date,Open,High,Low,Close,Adj Close,Volume
1995-09-01,13.250000,14.000000,12.875000,13.750000,9.885633,146000
1995-10-01,13.750000,14.000000,12.000000,12.937500,9.301482,901200
1995-11-01,12.750000,13.750000,12.750000,13.406250,9.638494,582400
1995-12-01,13.375000,14.000000,12.625000,12.781250,9.189147,540000
1996-01-01,13.281250,13.687500,12.218750,12.375000,8.897069,643200
1996-02-01,12.187500,13.375000,12.187500,12.937500,9.301482,299600
1996-03-01,13.156250,13.156250,11.375000,12.062500,8.672396,736800
1996-04-01,11.750000,11.750000,9.937500,11.000000,7.908508,2889200
1996-05-01,11.250000,11.593750,10.875000,11.375000,8.178116,2962800
1996-06-01,12.125000,12.500000,11.750000,12.500000,8.986940,1219200
1996-07-01,12.500000,12.750000,11.125000,12.000000,8.919712,702000
1996-08-01,12.250000,13.906250,12.250000,13.875000,10.313418,1881200
1996-09-01,13.375000,14.562500,13.000000,14.187500,10.545703,1065200
1996-10-01,14.187500,15.437500,10.875000,11.375000,8.455146,2727200
1996-11-01,10.500000,12.125000,10.375000,11.625000,8.640974,1370800
1996-12-01,11.437500,11.875000,10.812500,11.625000,8.640974,863200
1997-01-01,11.500000,12.437500,10.648440,10.648440,7.915087,1277600
1997-02-01,12.875000,13.125000,12.312500,12.750000,9.477195,1790000
1997-03-01,12.875000,14.250000,12.625000,14.125000,10.499246,744000
1997-04-01,13.437500,15.375000,13.125000,15.375000,11.428383,2287600
1997-05-01,15.187500,16.250000,14.937500,15.375000,11.428383,833200
1997-06-01,15.375000,18.062500,15.250000,17.312500,13.394927,1194400
1997-07-01,17.375000,20.750000,17.042971,20.250000,15.667715,1467600
1997-08-01,19.875000,21.000000,19.000000,19.250000,14.893998,1234800
1997-09-01,20.093750,22.437500,19.625000,22.187500,17.166782,1029200
1997-10-01,22.875000,25.500000,22.562500,24.968750,19.318680,2926400
1997-11-01,25.750000,26.375000,24.375000,25.750000,19.923143,1290000
1997-12-01,27.000000,28.500000,24.000000,26.562500,20.551788,2108000
1998-01-01,27.437500,31.375000,25.500000,30.625000,23.694998,1925600
1998-02-01,31.125000,35.000000,30.500000,34.375000,26.596428,2118400
1998-03-01,35.125000,37.375000,33.375000,35.750000,27.660284,2593600
1998-04-01,35.750000,44.500000,35.000000,43.250000,33.463139,3250000
1998-05-01,43.125000,47.750000,42.250000,45.625000,35.300713,412800
